comm_code,comm_name,median_assessed_value,assessment_class,service_count,service_rank,total_crime_2024,safety_rank,affordability_rank,overall_score,overall_rank
SDC,SUNDANCE,689000.0,Medium,1,27,61.0,108,125,260,83
LMR,LOWER MOUNT ROYAL,295000.0,Low,0,113,93.0,134,13,260,83
SHG,SHAGANAPPI,697000.0,Medium,1,27,59.0,106,128,261,85
CUR,CURRIE BARRACKS,710000.0,Medium,0,113,11.0,17,132,262,86
BVD,BELVEDERE,518000.0,Low,0,113,58.0,103,46,262,86
MIS,MISSION,238250.0,Low,0,113,98.0,143,6,262,86
ING,INGLEWOOD,607000.0,Medium,3,3,124.0,168,91,262,86
SHN,SHAWNESSY,574000.0,Medium,2,6,145.0,180,76,262,86
RDL,ROSEDALE,1235000.0,High,1,27,22.0,44,193,264,91
STR,STRATHCONA PARK,879000.0,High,1,27,33.0,60,177,264,91
WLD,WILDWOOD,850000.0,High,1,27,34.0,62,175,264,91
NGM,NORTH GLENMORE PARK,878500.0,High,1,27,34.0,62,176,265,94
BOW,BOWNESS,541500.0,Medium,2,6,240.0,200,60,266,95
ACA,ACADIA,595000.0,Medium,2,6,142.0,179,82,267,96
VIS,VISTA HEIGHTS,511500.0,Low,0,113,63.0,112,44,269,97
LEG,LEGACY,477500.0,Low,0,113,75.0,123,33,269,97
PKD,PARKDALE,845500.0,High,1,27,40.0,70,173,270,99
DIA,DIAMOND COVE,767500.0,Medium,0,113,2.0,6,152,271,100
DAL,DALHOUSIE,697000.0,Medium,1,27,69.0,116,128,271,100
WIN,WINSTON HEIGHTS/MOUNTVIEW,664000.0,Medium,1,27,90.0,131,113,271,100
MRT,MARTINDALE,529500.0,Medium,1,27,171.0,190,54,271,100
EYA,ELBOYA,1190000.0,High,1,27,29.0,55,190,272,104
BED,BEDDINGTON HEIGHTS,525750.0,Medium,1,27,183.0,193,52,272,104
APP,APPLEWOOD PARK,532000.0,Medium,0,113,58.0,103,57,273,106
BRI,BRIDLEWOOD,550500.0,Medium,0,113,55.0,96,65,274,107
SAN,SANDSTONE VALLEY,599500.0,Medium,0,113,42.0,77,86,276,108
HAR,HARVEST HILLS,547500.0,Medium,0,113,57.0,99,64,276,108
ARB,ARBOUR LAKE,683000.0,Medium,2,6,104.0,149,121,276,108
MAL,MAYLAND HEIGHTS,602000.0,Medium,1,27,115.0,160,89,276,108
THO,THORNCLIFFE,563500.0,Medium,1,27,141.0,178,71,276,108
MRL,MARLBOROUGH,518500.0,Low,1,27,309.0,202,47,276,108
SCE,SCENIC ACRES,773000.0,High,1,27,53.0,95,156,278,114
SOM,SOMERSET,568000.0,Medium,0,113,52.0,92,74,279,115
MCK,MCKENZIE LAKE,711000.0,Medium,1,27,71.0,118,134,279,115
GBK,GLENBROOK,622250.0,Medium,1,27,112.0,156,96,279,115
HUN,HUNTINGTON HILLS,578000.0,Medium,4,2,237.0,199,78,279,115
GAW,GARRISON WOODS,739500.0,Medium,0,113,14.0,24,145,282,119
YKV,YORKVILLE,787250.0,High,0,113,7.0,10,160,283,120
SHS,SHAWNEE SLOPES,670000.0,Medium,0,113,28.0,52,118,283,120
RUN,RUNDLE,544000.0,Medium,1,27,188.0,196,61,284,122
HSN,HASKAYNE,711500.0,Medium,0,113,19.0,37,135,285,123
MLR,MILLRISE,550500.0,Medium,0,113,62.0,109,65,287,124
HPK,HIGHLAND PARK,664500.0,Medium,1,27,103.0,148,114,289,125
LKV,LAKEVIEW,842500.0,High,1,27,52.0,92,171,290,126
SVO,SILVERADO,642750.0,Medium,0,113,41.0,73,105,291,127
SKR,SKYVIEW RANCH,347500.0,Low,0,113,120.0,164,14,291,127
WAL,WALDEN,561750.0,Medium,0,113,62.0,109,70,292,129
DDG,DOUGLASDALE/GLEN,674000.0,Medium,1,27,102.0,146,119,292,129
COL,COLLINGWOOD,770750.0,High,0,113,15.0,25,155,293,131
EPK,ELBOW PARK,1750000.0,High,1,27,40.0,70,197,294,132
KEL,KELVIN GROVE,1030000.0,High,1,27,47.0,81,186,294,132
HID,HIDDEN VALLEY,640000.0,Medium,0,113,48.0,82,100,295,134
ROY,ROYAL OAK,682500.0,Medium,0,113,37.0,65,120,298,135
GDL,GLENDALE,763000.0,Medium,1,27,74.0,122,149,298,135
HAY,HAYSBORO,652000.0,Medium,1,27,123.0,166,108,301,137
ROC,ROCKY RIDGE,710500.0,Medium,0,113,30.0,57,133,303,138
RMT,ROSEMONT,835000.0,High,0,113,13.0,23,168,304,139
SSD,SUNNYSIDE,420500.0,Low,0,113,127.0,171,20,304,139
TUS,TUSCANY,726000.0,Medium,1,27,94.0,137,141,305,141
CAP,CAPITOL HILL,769750.0,High,2,6,101.0,145,154,305,141
MCT,MCKENZIE TOWNE,467000.0,Low,0,113,117.0,162,30,305,141
WIL,WILLOW PARK,724000.0,Medium,1,27,97.0,141,138,306,144
RSN,REDSTONE,620500.0,Medium,0,113,57.0,99,95,307,145
MON,MONTGOMERY,669500.0,Medium,2,6,153.0,185,117,308,146
MOP,MOUNT PLEASANT,781750.0,High,2,6,102.0,146,157,309,147
MAF,MAYFAIR,1495000.0,High,0,113,0.0,1,196,310,148
KCA,KINCORA,657500.0,Medium,0,113,49.0,85,112,310,148
HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,903000.0,High,3,3,84.0,126,181,310,148
UMR,UPPER MOUNT ROYAL,1750000.0,High,1,27,50.0,87,197,311,151
HAW,HAWKWOOD,733500.0,Medium,0,113,30.0,57,142,312,152
KIL,KILLARNEY/GLENGARRY,628500.0,Medium,1,27,155.0,186,99,312,152
EAG,EAGLE RIDGE,1985000.0,High,1,27,50.0,87,200,314,154
EDG,EDGEMONT,844500.0,High,1,27,66.0,115,172,314,154
TUX,TUXEDO PARK,654500.0,Medium,1,27,137.0,177,110,314,154
